photo_link,product_link
https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_1_1.jpg?ts=1707751045954,https://www.zara.com/es/es/vestido-estampado-jacquard-p05767521.html
https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_6_2_1.jpg?ts=1707751045737,https://www.zara.com/es/es/vestido-estampado-jacquard-p05767521.html
https://static.zara.net/photos///2024/V/0/3/p/5767/521/712/2/w/2048/5767521712_3_1_1.jpg?ts=1707751046435,https://www.zara.com/es/es/vestido-estampado-jacquard-p05767521.html
https://static.zara.net/photos///2023/I/0/1/p/0002/240/802/14/w/2048/0002240802_1_1_1.jpg?ts=1702558358416,https://www.zara.com/es/es/falda-satinada-plisada-zw-collection-p00002240.html
https://static.zara.net/photos///2024/V/0/1/p/0002/240/802/14/w/2048/0002240802_1_1_1.jpg?ts=1702558686358,https://www.zara.com/es/es/falda-satinada-plisada-zw-collection-p00002240.html
https://static.zara.net/photos///2023/I/0/1/p/0002/240/802/2/w/2048/0002240802_3_1_1.jpg?ts=1689257779509,https://www.zara.com/es/es/falda-satinada-plisada-zw-collection-p00002240.html
https://static.zara.net/photos///2024/V/0/1/p/9598/043/250/2/w/2048/9598043250_1_1_1.jpg?ts=1710867595694,https://www.zara.com/es/es/chaleco-punto-liso-p09598043.html
https://static.zara.net/photos///2024/V/0/1/p/9598/043/250/2/w/2048/9598043250_2_1_1.jpg?ts=1710867595853,https://www.zara.com/es/es/chaleco-punto-liso-p09598043.html
https://static.zara.net/photos///2024/V/0/1/p/9598/043/250/2/w/2048/9598043250_3_1_1.jpg?ts=1710774106290,https://www.zara.com/es/es/chaleco-punto-liso-p09598043.html
https://static.zara.net/photos///2024/V/0/3/p/3859/502/712/2/w/2048/3859502712_6_1_1.jpg?ts=1707482751719,https://www.zara.com/es/es/jersey-punto-girasoles-p03859502.html
https://static.zara.net/photos///2024/V/0/3/p/3859/502/712/2/w/2048/3859502712_6_2_1.jpg?ts=1707482751675,https://www.zara.com/es/es/jersey-punto-girasoles-p03859502.html
https://static.zara.net/photos///2024/V/1/3/p/6583/330/107/2/w/2048/6583330107_6_1_1.jpg?ts=1712755205872,nan
